monthly_charges,tenure,contract_type,data_usage,support_calls,churn
68.69021545015713,47,Two year,3.300492207012079,4,1
143.59285983328908,12,Month-to-month,17.441026698473966,5,1
115.15921243548266,62,Month-to-month,5.549904939565742,9,1
97.82560294561476,8,Month-to-month,40.41176050046111,7,1
40.28242325751675,21,Two year,47.38440129822354,7,0
40.27928764370634,70,Two year,3.6158237628969303,2,0
27.550869581865932,72,One year,47.75576036458507,6,0
132.60289895074158,25,Two year,26.12882996683726,0,1
98.14495152661715,12,Two year,14.978283897693695,0,0
112.04943511348591,15,Month-to-month,3.8431037638081755,6,1
22.675984258454317,59,One year,25.03121340352089,9,1
146.08828078105927,26,Two year,39.72577722453743,8,1
128.21754330405483,26,Two year,35.354323863334905,6,1
47.6040843881759,47,Month-to-month,2.511300573198688,9,0
43.63724573692308,32,Month-to-month,3.645091768395176,4,0
43.84258628094639,10,Two year,20.143664131631855,7,1
59.55149158473991,16,One year,14.764524702397164,1,0
88.21833611219093,71,One year,11.619216152802391,8,0
76.15285242347505,17,Month-to-month,14.05022494543568,5,1
57.85978822574545,23,Month-to-month,40.17413716484423,8,1
99.54087631390934,26,Two year,46.461402681592695,1,1
38.13420188476544,7,Month-to-month,20.255134726378323,2,1
57.97880430957836,14,Two year,45.30555010662486,7,1
67.62703962817992,7,One year,16.0747850623941,0,1
79.28909794821467,9,One year,23.82184931718958,9,1
122.07287498109177,48,Two year,11.301449890799987,6,1
45.957591680586766,72,Month-to-month,32.0238021087922,6,0
86.8504769937695,59,One year,48.94905575874044,0,0
97.01389395206552,39,Month-to-month,30.17465480216893,8,0
26.038553653599706,18,One year,17.890704205677444,7,1
98.98083074718699,59,Two year,32.39087229952642,3,0
42.1681360793479,17,Two year,6.146033923269378,9,0
28.456707088086336,14,Two year,44.432954013269935,4,1
143.35511984293333,31,One year,25.154197538991816,1,1
145.5321642996927,24,Month-to-month,22.467487101982105,8,1
125.09165525513994,60,Month-to-month,29.29323942267596,5,1
59.59978999253819,45,Month-to-month,31.239193139470125,2,1
32.69737482082991,3,One year,3.5887903113256514,6,1
108.9502934465804,37,One year,34.13086106117012,8,1
77.21982418614817,43,One year,12.096584015776479,2,1
35.86497052982125,40,One year,35.69763162532949,1,1
84.37299831446512,55,One year,41.12673971920984,6,1
24.47050774497839,39,Month-to-month,40.197925377626014,6,1
138.21165227024167,15,One year,27.625048370394456,3,0
53.6413976080022,4,One year,26.008494615537558,8,1
106.12789696601766,25,Month-to-month,7.143798066970586,7,1
60.52243989162342,13,One year,38.76730752015678,0,1
87.60884275311541,33,Month-to-month,13.570469022335718,0,1
91.07233631462636,16,Month-to-month,24.834771140897328,4,1
44.03107921831851,42,Two year,14.213704646375835,5,1
146.04600160939262,66,Two year,6.691418149984657,2,1
120.76726703694489,55,Two year,31.47788484458683,8,0
142.13486240334458,42,Two year,2.7166017411451913,9,0
136.32755555559436,34,One year,37.43226170631,5,1
97.72699724544107,30,Two year,15.879339763055834,3,0
139.8436505530052,13,Month-to-month,0.006734650224266003,6,0
31.504025266749537,13,One year,25.55645696186149,7,1
45.47777211448887,18,Two year,2.3425954263801563,8,1
25.87954755836995,32,Month-to-month,13.808477891044973,5,1
62.292942999224366,39,One year,35.348824372785806,5,0
70.52804765963266,46,One year,3.134481081093293,7,0
55.275374130606465,29,Two year,41.96692461780012,4,1
127.73587618975081,62,One year,0.1909961329291554,2,0
66.3779324701666,62,Month-to-month,12.341193460095113,2,0
56.5214862593595,57,One year,37.04520280760357,5,1
90.5504908105723,16,Month-to-month,15.813507486465339,1,1
38.32014924671914,56,One year,5.094619403300676,5,0
124.28560749802516,10,Two year,18.011695940021394,5,0
29.691583678370208,30,Month-to-month,13.519664319226276,7,1
148.29530175806724,25,One year,42.13559510802774,6,0
120.39182000856546,5,One year,15.667395879257157,7,1
