sqft,bedrooms,bathrooms,age,location_score,price
2116.9630694488624,4.0,1.9,3.036673470111264,5.840188980903682,216.5952543727327
1260.2423980049239,2.0,1.4,12.758847167269513,7.74975283829637,88.34056375382099
1822.8021415795795,1.0,1.0,20.319674730079132,4.361892128666764,100.052500685929
1469.023571955286,1.0,2.7,0.0,1.798192043046969,70.06026064978347
880.9790542561636,4.0,1.0,15.239742616361978,1.677833168865655,69.34873350619037
1435.3171264295934,3.0,1.1,14.422131765820016,3.421322988560651,128.687984705606
1684.055391819125,3.0,1.8,4.658111522023917,5.076006956336401,172.06308420053477
1570.2073363059444,4.0,3.0,16.27207072888326,6.550310988069566,229.29995889543812
1976.5880784130786,3.0,1.6,30.43103711825448,3.7717548699833676,199.09748681658627
1554.750309179764,3.0,1.2,9.948271993186507,5.538589505161468,123.46463952931664
1554.3188228313247,1.0,1.1,39.54917055974096,5.632716643072289,139.67902170357445
1735.0768994395821,1.0,3.0,9.820354080588451,2.152634726232154,60.87036703811421
1110.9504156132462,3.0,2.0,25.995319276289624,7.34694771497065,204.8194053008111
1729.824083515407,4.0,1.9,38.403998358264616,3.0032291216234173,206.98417620127975
1695.4173753917394,5.0,2.0,15.270961330394815,7.271131280361198,266.13134444644015
1178.6838961052854,5.0,1.8,30.203241581756743,5.8085895099233955,207.88666060326702
1456.5286262755706,1.0,2.0,13.310844292082598,3.5905431287782323,50.0
1507.616526162723,3.0,2.2,0.0,4.225738700420971,92.54840008286507
1259.9884306807062,3.0,1.0,19.047131380769674,2.3615056108024652,91.42442846052714
1595.934580242761,2.0,1.6,0.0,2.331949010163591,74.66004995046399
1637.3059758160657,2.0,1.0,0.0,1.0,50.0
1656.5824696850693,1.0,2.1,24.45477009849779,2.526098578243836,97.3412902195015
1322.293213304384,5.0,1.0,21.853215439333734,6.251016033662071,138.64523613638252
1662.272555568297,2.0,2.2,33.1425375078685,4.769551534895605,170.82278899909974
1298.2543211980992,3.0,3.0,23.349062538803913,3.948738132029231,158.50300440993345
1250.381608545043,5.0,1.0,11.748270755951916,4.193848021869939,161.6833196217268
1576.3262529903639,5.0,1.6,25.064039931128033,4.688645529215841,222.87344660287494
1345.5651975255773,3.0,1.0,23.65295306279517,5.776751458460336,137.3556035921031
1364.996142601256,1.0,2.1,38.85723825293859,4.167611190229492,130.921490260515
1701.2733744830625,1.0,1.5,29.056857804168413,1.622989623863,75.84748819379044
1295.4047256006604,3.0,1.7,4.975699851576268,1.0,61.13333033009084
1623.165025598285,3.0,2.0,16.533957838134796,4.799048558856589,173.46427963379668
1777.2081057620703,1.0,1.3,17.226467953355165,5.652266044484236,104.06203292721355
1562.2810054201877,5.0,1.0,24.615149801016706,4.72537806842224,160.49015315048325
1924.256186499327,4.0,2.8,26.710909056034634,5.610486253062706,241.89955019220207
1285.4088872220095,1.0,2.4,30.193966234020138,5.128560038190925,80.19778338362777
1673.393557091867,4.0,1.0,28.660452876599923,2.109589471175549,170.06328076241655
1762.9366936508807,1.0,1.0,0.0,5.060062958328165,50.0
